2025-11-23 14:28:14,813 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(99,31)
2025-11-23 14:28:14,813 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(99,32)
2025-11-23 14:28:14,813 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(99,33)
2025-11-23 14:28:14,813 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(99,34)
2025-11-23 14:28:14,813 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(99,35)
2025-11-23 14:28:14,813 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(99,36)
2025-11-23 14:28:14,813 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(99,37)
2025-11-23 14:28:14,813 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(99, 37)
2025-11-23 14:28:14,813 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(99,36)
2025-11-23 14:28:14,813 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(99, 36)
2025-11-23 14:28:14,813 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(99,35)
2025-11-23 14:28:14,813 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(99, 35)
2025-11-23 14:28:14,813 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(99,34)
2025-11-23 14:28:14,813 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(99, 34)
2025-11-23 14:28:14,813 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(99,33)
2025-11-23 14:28:14,813 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(99, 33)
2025-11-23 14:28:14,813 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(99,32)
2025-11-23 14:28:14,813 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(99, 32)
2025-11-23 14:28:14,813 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(99,31)
2025-11-23 14:28:14,813 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(99, 31)
2025-11-23 14:28:14,813 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(98,31)
2025-11-23 14:28:14,813 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(98, 31)
2025-11-23 14:28:14,814 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(97,31)
2025-11-23 14:28:14,814 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(97, 31)
2025-11-23 14:28:14,814 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(97,30)
2025-11-23 14:28:14,814 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(97, 30)
2025-11-23 14:28:14,814 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(97,29)
2025-11-23 14:28:14,814 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(97, 29)
2025-11-23 14:28:14,814 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(98,29)
2025-11-23 14:28:14,814 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(98, 29)
2025-11-23 14:28:14,814 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(99,29)
2025-11-23 14:28:14,814 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(99, 29)
2025-11-23 14:28:14,814 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(99,28)
2025-11-23 14:28:14,814 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(99, 28)
2025-11-23 14:28:14,814 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(99,27)
2025-11-23 14:28:14,814 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(98,27)
2025-11-23 14:28:14,814 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(97,27)
2025-11-23 14:28:14,814 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(96,27)
2025-11-23 14:28:14,814 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(95,27)
2025-11-23 14:28:14,814 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(95,26)
2025-11-23 14:28:14,814 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(95,25)
2025-11-23 14:28:14,814 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(94,25)
2025-11-23 14:28:14,814 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(93,25)
2025-11-23 14:28:14,814 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(93,26)
